wat	wat	pron(inter)
ouer	over	Adp()
hem	hij	pron(pers,3,sing)
te	te	adp()
verweruen	verwerven	v(infin)
der	de	Art(def)
sonde	zonde	N(sing)
sterf	sterven	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
teenemael	gezamenlijk	Adv(gener)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
leeft	leven	V(fin,pres,lex)
leeft	leven	V(fin,pres,lex)
hy	hij	Pron(pers,3,sing)
gode	god	N(sing)
sterft	sterven	V(fin,pres,lex)
oock	ook	Adv(gener)
de	de	Art(def)
sond	zonde	N(sing)
'	?	punc(quest)
int	in+het	Adp()+Art(def)
generael	generaal	N(sing)
leeft	leven	V(fin,pres,lex)
christo	christus	N(prop)
zijn	zijn	pron(poss)
ghebode	gebod	N(sing)
en	en	adv(neg)
laet	laten	v(fin,pres,lex)
de	de	Art(def)
sond	zonde	N(sing)
'	?	punc(quest)
gheen	geen	Pron(indef)
ouerhant	overhand	N(sing)
hebben	hebben	V(fin,pres,aux_cop)
inden	in+de	adp()+art(def)
lichame	lichaam	n(sing)
en	ne	adv(neg)
bequame	bekwaam	adj()
in	in	Adp()
zijnen	zijn	Pron(poss)
lust	lust	N(sing)
playsant	plakkaat	N(sing)
hier	hier	Adv(dem)
te	te	Adp()
zijn	zijn	V(infin)
ghehoorsame	gehoorzaam	Adj()
tot	tot	Adp()
sond	zonde	N(sing)
'	?	punc(quest)
begheeft	begeven	V(fin,pres,lex)
v	gij	Pron(poss)
leden	lijden	N(plu)
niet	niet	adv(neg)
in	in	adp()
tongherechtheyts	het+ongewaarachtige	n(sing)
wapen	wapen	N(plu)
begheeft	begeven	v(imp)
v	gij	pron(pers,2,plu)
gode	god	n(sing)
ende	en	conj(coord)
siet	zien	v(fin,pres,lex)
dat	dat	conj(subord)
wt	uit	adp()
den	de	Art(def)
dooden	dode	N(plu)
knapen	knaap	N(plu)
ghy	gij	Pron(pers,2,plu)
leuendich	levendig	Adj()
wort	worden	V(fin,pres,aux_cop)
door	door	Adp()
christi	christus	N(prop)
bloet	bloed	N(sing)
ende	en	conj(coord)
begheeft	begeven	v(fin,pres,lex)
v	gij	pron(pers,2,plu)
leden	lijden	N(plu)
hier	hier	adv(dem)
beneden	beneden	Adv(gener)
tot	tot	Adp()
wapenen	wapen	N(plu)
seer	zeer	Adv(gener)
goet	goed	Adj()
vol	vol	Adj()
van	van	Adp()
gherechticheden	gerechtigheid	n(plu)
onder	onder	adp()
de	de	Art(def)
wet	wet	N(sing)
zijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,sing)
niet	niet	Adv(neg)
meer	meer	Adv(gener)
maer	maar	conj(coord)
onder	onder	Adp()
de	de	Art(def)
ghenade	genade	n(sing)
dan	dan	Conj(comp)
sondicht	zondig	N(sing)
daerom	daarom	pronadv(dem)
niet	niet	adv(neg)
te	te	adp()
seer	zeer	Adv(gener)
en	en	Conj(coord)
bruyckt	bruiken	V(fin,pres,lex)
ghehoorsaem	gehoorzaam	Adj()
dade	doen	v(fin,past,aux_cop)
danct	danken	v(fin,pres,lex)
god	god	n(sing)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
voor	voor	Adp()
hebt	hebben	V(fin,pres,aux_cop)
gheweest	zijn	V(participle,past)
sondich	zondig	Adj()
hier	hier	Adv(dem)
al	al	Adv(gener)
ghemeyne	gemeen	adj()
nv	nu	adv(dem)
certeyne	certein	Adj()
ghehoorsaem	gehoorzaam	n(prop)
die	die	pron(rel)
god	god	N(sing)
vreest	vrezen	V(fin,pres,lex)
na	na	Adp()
de	de	Art(def)
leer	leer	N(sing)
christi	christus	N(prop)
reyne	rein	Adj()
ghemaect	maken	v(participle,past)
nv	nu	adv(dem)
zijnde	zijn	V(participle,pres)
van	van	Adp()
sond	zonde	N(sing)
'	?	punc(quest)
vry	vrij	Adj()
sijn	zijn	Pron(poss)
tsgherechticheyts	ongerechtigheid	N(sing)
knechten	knecht	n(plu)
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,plu)
wel	wel	Adv(gener)
eer	eer	Conj(subord)
met	met	adp()
moede	moed	N(sing)
bly	blij	Adj()
v	gij	Pron(poss)
leden	lijden	N(plu)
cost	kost	v(fin,pres,lex)
op	op	Adp()
rechten	recht	V(infin)
tot	tot	Adp()
het	het	Art(def)
onreyn	onrein	Adj()
twelck	hetwelk	Pron(rel)
god	god	N(sing)
verbiet	verbieden	V(fin,pres,lex)
elck	elk	Pron(indef)
hem	hij	Pron(pers,3,sing)
in	in	Adp()
dees	deze	pron(dem)
ellende	ellende	n(sing)
heylich	heilig	adj()
wende	wenden	n(sing)
den	de	art(def)
dienst	dienst	n(sing)
der	de	art(def)
sonden	zonde	n(plu)
vliet	vlieden	v(fin,pres,lex)
want	want	Conj(coord)
de	de	Art(def)
doot	dood	N(sing)
is	zijn	V(fin,pres,aux_cop)
haer	zij	pron(pers,3,sing)
ende	en	conj(coord)
sijnde	zijn	pron(poss)
gheurijt	vrijen	v(participle,past)
niet	niet	Adv(neg)
en	ne	adv(neg)
beducht	beducht	V(fin,pres,lex)
gherechtheyt	gerechtigheid	n(sing)
sal	zullen	v(fin,pres,aux_cop)
v	gij	pron(pers,2,plu)
vueren	voeren	v(infin)
tot	tot	Adp()
heylichmakingh	heiligheid	N(sing)
'	?	punc(quest)
is	zijn	v(fin,pres,aux_cop)
v	uw	pron(poss)
vrucht	vrucht	n(sing)
v	gij	pron(pers,2,plu)
eynd	einde	N(sing)
'	?	punc(quest)
sal	zullen	v(fin,pres,aux_cop)
eewich	eeuwig	adj()
dueren	duren	v(infin)
want	want	Conj(coord)
sonde	zonde	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
de	de	Art(def)
doot	dood	N(sing)
voor	voor	Adp()
loon	loon	N(sing)
maer	maar	Conj(coord)
gods	god	N(sing)
gaef	geven	N(sing)
oueruloedich	overvloedig	adj()
brenghet	brengen	v(fin,pres,lex)
v	gij	pron(pers,2,plu)
spoedich	spoedig	Adv(gener)
tot	tot	adp()
den	de	art(def)
eewighen	eeuwig	adj()
troon	troon	N(sing)
door	door	Adp()
christi	christus	N(prop)
wonden	wond	N(plu)
bloedich	bloedig	adj()
