wy	wij	Pron(pers,1,plu)
goede	goed	Adj()
en	ne	adv(neg)
doe	doen	Adv(dem)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
tot	tot	Adp()
gheender	geen	Num(indef)
uren	uur	N(sing)
maer	maar	Conj(coord)
tquaet	het+kwaad	Art(def)+N(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
soud	zullen	V(fin,past,aux_cop)
'	?	punc(quest)
volvuren	volvuren	v(infin)
dat	dat	conj(subord)
doe	toen	Adv(dem)
ick	ik	Pron(pers,1,sing)
tvleesch	het+vlees	Art(def)+N(sing)
is	zijn	V(fin,pres,aux_cop)
sulcx	zulk	Pron(dem)
niet	niet	Adv(neg)
vroede	vroed	adj()
doe	toen	Conj(subord)
ick	ik	Pron(pers,1,sing)
dan	dan	Adv(dem)
sulcx	zulk	Pron(dem)
t	het	Art(def)
'	?	punc(quest)
eenighen	enig	Num(indef)
stonde	stond	n(sing)
so	zo	adv(resum)
doe	toen	Adv(dem)
ick	ik	Pron(pers,1,sing)
dat	dat	Pron(dem)
niet	niet	Adv(neg)
maer	maar	conj(coord)
de	de	Art(def)
sonde	zonde	N(sing)
daer	daar	Adv(dem)
ick	ik	Pron(pers,1,sing)
hier	hier	Adv(dem)
mede	mede	Adv(gener)
ben	zijn	v(fin,pres,aux_cop)
ontfanghen	ontvangen	v(participle,past)
een	een	Art(indef)
wet	wet	n(sing)
in	in	Adp()
my	ik	Pron(pers,1,sing)
can	kunnen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
beuinden	bevinden	V(fin,past,lex)
als	als	Conj(comp)
ick	ik	Pron(pers,1,sing)
my	ik	Pron(pers,1,sing)
tgoet	het+goed	Art(def)+N(sing)
wil	willen	V(fin,pres,aux_cop)
onderwinden	onderwinden	V(infin)
datmen	dat+men	Conj(subord)+Pron(indef)
my	ik	Pron(pers,1,sing)
tquade	het+kwaad	Art(def)+N(sing)
siet	zien	V(imp)
aen	aan	Adp()
hanghen	hangen	V(infin)
vvant	want	Conj(subord)
ick	ik	Pron(pers,1,sing)
heb	hebben	V(fin,pres,aux_cop)
lust	lust	N(sing)
met	met	Adp()
tsherten	hart	Art(def)+N(sing)
wensche	wens	n(sing)
aen	aan	Adp()
de	de	Art(def)
wet	wet	N(sing)
godes	god	N(sing)
na	na	adp()
den	de	art(def)
mensche	mens	n(sing)
die	die	pron(rel)
my	ik	pron(pers,1,sing)
inwendich	inwendig	Adj()
brengt	brengen	V(fin,pres,lex)
verblijen	verblijden	V(infin)
maer	maar	Conj(coord)
ick	ik	Pron(pers,1,sing)
sie	zij	pron(pers,3,plu)
in	in	adp()
my	ik	pron(pers,1,sing)
oock	ook	Adv(gener)
verspreden	verspreiden	V(fin,past,lex)
een	een	Art(indef)
ander	ander	adj()
wet	wet	n(sing)
in	in	Adp()
mijnen	mijn	Pron(poss)
leden	lid	N(plu)
teghen	tegen	Adp()
tgemoets	het+gemoed	Art(def)+N(sing)
wet	wet	N(sing)
can	kunnen	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
strijen	strijden	V(infin)
dees	deze	Pron(dem)
can	kunnen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
hier	hier	Adv(dem)
in	in	Adp()
seer	zeer	Adv(gener)
veel	veel	num(indef)
saken	zaak	n(plu)
der	de	art(def)
sonden	zonde	n(plu)
wet	wet	n(sing)
gheuanghen	vangen	v(participle,past)
maken	maken	v(infin)
die	die	pron(rel)
in	in	adp()
mijn	mijn	pron(poss)
leden	lid	n(plu)
is	zijn	v(fin,pres,aux_cop)
niet	niet	adv(neg)
traghe	traag	Adv(gener)
ick	ik	pron(pers,1,sing)
mensche	mens	n(sing)
die	die	pron(rel)
daer	daar	adv(dem)
ben	zijn	v(fin,pres,aux_cop)
ellendich	ellendig	Adj()
wie	wie	Pron(inter)
verlost	verlossen	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
ick	ik	Pron(pers,1,sing)
roep	roepen	V(fin,pres,lex)
onendich	ik+oefenen	Adj()
van	van	adp()
sdoots	stout	n(prop)
lichaem	lichaam	n(sing)
het	het	Art(def)
welck	welk	Pron(rel)
ick	ik	Pron(pers,1,sing)
draghe	dragen	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
dancke	danken	V(fin,pres,lex)
god	god	N(sing)
den	de	art(def)
vader	vader	n(sing)
seere	zeer	Adv(gener)
door	door	Adp()
jesum	jezus	N(prop)
christum	christus	N(prop)
onsen	ons	Pron(poss)
heere	heer	N(sing)
dien	die	pron(dem)
'	?	punc(quest)
oock	ook	Adv(gener)
gods	god	N(sing)
wet	wet	N(sing)
met	met	adp()
den	de	art(def)
ghemoede	gemoed	n(sing)
met	met	adp()
het	het	Art(def)
vleesch	vlees	N(sing)
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
my	ik	Pron(pers,1,sing)
aencleuen	aankleven	V(infin)
de	de	Art(def)
wet	wet	n(sing)
der	de	art(def)
sonden	zonde	n(plu)
in	in	adp()
dit	dit	pron(dem)
leuen	leven	n(sing)
ten	te+de	Adp()+Art(def)
sy	zij	Pron(pers,3,plu)
dat	dat	Conj(subord)
my	ik	Pron(pers,1,sing)
de	de	Art(def)
heer	heer	N(sing)
behoede	behoeden	V(fin,pres,lex)
