eenpaerlick	eenpaarlijk	adv(gener)
trekt	trekken	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
wt	uit	Adp()
der	de	Art(def)
doot	dood	N(sing)
nu	nu	Adv(dem)
meer	meer	Num(indef)
laet	laten	V(imp)
my	ik	Pron(pers,1,sing)
van	van	Adp()
myn	mijn	Pron(poss)
hope	hoop	n(sing)
niet	niet	Adv(neg)
sijn	zijn	pron(poss)
ghedreuen	drijven	V(participle,past)
weest	zijn	V(imp)
myne	mijn	Pron(poss)
kracht	kracht	N(sing)
versterckt	versterken	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
nu	nu	Adv(dem)
o	o	Interj()
heer	heer	N(sing)
in	in	Adp()
alle	al	Num(indef)
myn	mijn	Pron(poss)
lyden	lijden	N(plu)
end	en	Conj(coord)
teghenheden	tegenheid	N(plu)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
tot	tot	Adp()
uwer	uw	Pron(poss)
wet	wet	N(sing)
belust	belust	Adj()
sijn	zijn	V(fin,pres,aux_cop)
seer	zeer	Adv(gener)
ghy	gij	Pron(pers,2,plu)
sult	zullen	V(fin,pres,aux_cop)
hen	zij	Pron(pers,3,plu)
die	die	Pron(rel)
niet	niet	adv(neg)
houden	houden	V(infin)
uwe	uw	Pron(poss)
zeden	zede	N(plu)
die	die	Pron(rel)
niet	niet	Adv(neg)
dan	dan	adv(dem)
bedrogh	bedrog	n(sing)
dryuen	drijven	V(infin)
met	met	adp()
der	de	art(def)
spoet	spoed	n(sing)
te	te	adp()
niet	niet	Adv(neg)
doen	doen	V(infin)
end	en	Conj(coord)
onder	onder	Adp()
v	uw	Pron(poss)
'	?	punc(quest)
voeten	voet	N(plu)
treden	treden	v(infin)
als	als	Conj(comp)
schuym	schuim	N(sing)
verwerpt	verwerpen	V(participle,past)
ghy	gij	Pron(pers,2,plu)
al	al	Adv(gener)
die	de	Pron(rel)
boos	boos	Adj()
'	?	punc(quest)
onvroet	onvroed	Adj()
dies	dat	Pron(dem)
hebb	hebben	V(fin,pres,aux_cop)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
lief	lief	Adj()
v	gij	Pron(pers,2,plu)
'	?	punc(quest)
gebodt	gebod	N(sing)
hoogh	hoog	Adj()
'	?	punc(quest)
gepresen	prijzen	V(participle,past)
end	en	Conj(coord)
houde	houden	V(fin,pres,lex)
dat	dat	Conj(subord)
met	met	adp()
een	een	art(indef)
vroylick	vrolijk	Adj()
ghemoet	gemoed	N(sing)
ick	ik	Pron(pers,1,sing)
moet	moeten	V(fin,pres,aux_cop)
verschrickt	verschrikt	V(participle,past)
end	en	Conj(coord)
gantsch	gans	Adv(gener)
verslaeghen	verslagen	V(infin)
wesen	wezen	V(infin)
als	als	Conj(subord)
ick	ik	Pron(pers,1,sing)
die	de	Art(def)
oordeelen	oordeel	N(plu)
die	die	Pron(rel)
ghy	gij	Pron(pers,2,sing)
heer	heer	N(sing)
doet	doen	V(fin,pres,lex)
bedenck	bedenken	V(imp)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
moet	moeten	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
ontsetten	ontzetten	V(infin)
mits	mits	Conj(coord)
desen	deze	Pron(dem)
ick	ik	Pron(pers,1,sing)
doe	toen	Adv(dem)
yderman	iederman	Pron(indef)
recht	recht	n(sing)
in	in	adp()
billickheit	billikheid	N(sing)
dies	de	pron(dem)
ouergheeft	overgeven	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
heer	heer	N(sing)
in	in	Adp()
gheenen	geen	Pron(indef)
dingen	ding	n(plu)
hen	zij	Pron(pers,3,plu)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
haeten	haten	V(infin)
wt	uit	Adp()
nydt	nijd	N(sing)
end	en	Conj(coord)
boosheit	boosheid	N(sing)
stiert	sturen	V(imp)
uwen	uw	Pron(poss)
knecht	knecht	n(sing)
ende	en	conj(coord)
wilt	willen	v(fin,pres,aux_cop)
hem	hij	pron(pers,3,sing)
ooc	ook	Adv(gener)
dwingen	dwingen	V(infin)
tot	tot	Adp()
allerley	allerlei	Num(indef)
dueghdt	deugd	Conj(comp)+Pron(pers,3,sing)
end	en	Conj(coord)
'	?	punc(quest)
eere	eer	N(sing)
voort	voort	Adv(gener)
aen	aan	Adp()
op	op	Adp()
dat	dat	Conj(subord)
my	ik	Pron(pers,1,sing)
die	de	Art(def)
boose	boos	Adj()
niet	niet	Adv(neg)
t	het	Art(def)
'	?	punc(quest)
onderbringhen	onderbrengen	V(infin)
myn	mijn	Pron(poss)
ooghen	oog	N(plu)
sijn	zijn	Pron(poss)
vermoeyt	vermoeien	N(sing)
met	met	Adp()
op	op	Adp()
te	te	Adp()
slaen	slaan	v(infin)
in	in	adp()
'	?	punc(quest)
t	het	Art(def)
verwachten	verwachten	V(infin)
des	de	Art(def)
heyls	heil	N(sing)
my	ik	Pron(pers,1,sing)
toeghesproken	toespreken	N(plu)
in	in	Adp()
v	uw	pron(pers,2,plu)
'	?	punc(quest)
woort	woord	N(sing)
t	het	Art(def)
'	?	punc(quest)
welck	welk	Pron(rel)
vastelick	vastelijk	Adv(gener)
sal	zullen	v(fin,pres,aux_cop)
bestaen	bestaan	v(infin)
doet	doen	v(fin,pres,lex)
met	met	adp()
uwen	uw	Pron(poss)
knecht	knecht	N(sing)
van	van	adp()
geeste	geest	N(sing)
gebroken	breken	v(participle,past)
leert	leren	v(fin,pres,lex)
my	ik	Pron(pers,1,sing)
uwe	uw	Pron(poss)
wet	wet	N(sing)
nae	na	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
goedicheit	goedigheid	n(sing)
in	in	Adp()
gramschap	gramschap	N(sing)
laet	laten	V(imp)
myn	mijn	Pron(poss)
quaet	kwaad	N(sing)
niet	niet	Adv(neg)
sijn	zijn	V(fin,pres,aux_cop)
gewroken	wreken	V(participle,past)
ick	ik	Pron(pers,1,sing)
ben	zijn	V(fin,pres,aux_cop)
v	gij	Pron(pers,2,plu)
'	?	punc(quest)
knecht	knecht	n(sing)
dies	dat	Pron(dem)
ghy	gij	Pron(pers,2,plu)
die	die	Pron(rel)
myn	mijn	Pron(poss)
heer	heer	N(sing)
sijdt	zijn	V(fin,pres,lex)
geeft	geven	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
den	de	Art(def)
geest	geest	N(sing)
end	en	Conj(coord)
verstandt	verstand	N(sing)
om	om	Adp()
te	te	Adp()
mercken	merken	v(infin)
die	de	Art(def)
verborghenheit	verborgenheid	n(sing)
uwer	uw	pron(poss)
wet	wet	N(sing)
altydt	altijd	Adv(gener)
het	het	Pron(pers,3,sing)
werdt	worden	V(fin,pres,aux_cop)
tyt	tijd	n(sing)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
heer	heer	N(sing)
niet	niet	Adv(neg)
om	om	Adp()
verstercken	versterken	V(infin)
t	het	Art(def)
'	?	punc(quest)
quaet	kwaad	N(sing)
straft	straffen	N(sing)
daer	daar	Adv(dem)
is	zijn	V(fin,pres,aux_cop)
gheen	geen	Pron(indef)
wet	wet	N(sing)
noch	noch	Conj(coord)
trauw	trouw	N(sing)
'	?	punc(quest)
voorwaer	voorwaar	Adv(gener)
die	die	Pron(rel)
t	het	Art(def)
'	?	punc(quest)
volck	volk	N(sing)
hindert	hinderen	V(fin,pres,lex)
alle	al	Num(indef)
boosheit	boosheid	N(sing)
te	te	Adp()
wercken	werken	V(infin)
maer	maar	Conj(coord)
ick	ik	Pron(pers,1,sing)
beminn	beminnen	V(fin,pres,lex)
'	?	punc(quest)
v	gij	pron(pers,2,plu)
'	?	punc(quest)
gheboden	gebod	V(participle,past)
eerbaer	eerbaar	Adj()
meer	meer	Num(indef)
kostelick	kostelijk	Adv(gener)
goudt	goud	N(sing)
seer	zeer	Adv(gener)
groot	groot	Adj()
van	van	Adp()
weerde	waarde	N(sing)
iae	ja	interj()
dan	dan	Conj(comp)
edel	edel	Adj()
ghesteenten	gesteente	V(participle,past)
seer	zeer	Adv(gener)
dierbaer	dierbaar	Adv(gener)
ick	ik	Pron(pers,1,sing)
acht	achten	V(fin,pres,lex)
'	?	punc(quest)
uwe	uw	Pron(poss)
rechten	recht	N(plu)
die	die	Pron(rel)
ick	ik	Pron(pers,1,sing)
aenveerde	aanvaarden	V(fin,past,lex)
recht	recht	Adv(gener)
te	te	adp()
wesen	zijn	v(infin)
maer	maar	Conj(coord)
ick	ik	Pron(pers,1,sing)
haete	haat	V(fin,pres,lex)
dit	dit	Pron(dem)
'	?	punc(quest)
s	sint	Art(def)
klaer	klaar	Adj()
die	de	Art(def)
valsche	vals	Adj()
weghen	weg	N(plu)
end	en	Conj(coord)
t	het	Art(def)
'	?	punc(quest)
quaet	kwaad	N(sing)
op	op	adp()
der	de	art(def)
eerde	aarde	n(sing)
vwe	uw	pron(poss)
ghetuyghnissen	getuigenis	n(sing)
sijn	zijn	Pron(poss)
schoon	schoon	Adj()
end	en	Conj(coord)
goet	goed	Adj()
daer	daar	Adv(dem)
in	in	adp()
sijn	zijn	pron(poss)
secreeten	secreet	n(plu)
niet	niet	adv(neg)
om	om	Adp()
doergronden	doorgronden	V(infin)
dies	dat	pron(dem)
houd	hout	n(sing)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
die	die	Pron(rel)
met	met	Adp()
vliet	vlieden	v(fin,pres,lex)
in	in	Adp()
myn	mijn	Pron(poss)
ghemoet	gemoed	N(sing)
in	in	Adp()
uwe	uw	Pron(poss)
wet	wet	N(sing)
is	zijn	V(fin,pres,aux_cop)
een	een	Art(indef)
sulck	zulk	Pron(dem)
licht	licht	N(sing)
gheuonden	vinden	V(participle,past)
daer	daar	Adv(dem)
doer	door	adp()
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
die	die	Pron(rel)
oprecht	oprecht	Adj()
sijn	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
slecht	slecht	Adj()
verstandigh	verstandig	Adj()
end	en	Conj(coord)
wys	wijs	N(sing)
werden	worden	V(fin,past,aux_cop)
t	het	Art(def)
'	?	punc(quest)
allen	al	Num(indef)
stonden	stond	N(plu)
ick	ik	Pron(pers,1,sing)
hebb	hebben	V(fin,pres,aux_cop)
'	?	punc(quest)
dickwyl	dikwijl	adv(gener)
begheert	begeren	v(fin,pres,lex)
met	met	Adp()
een	een	Art(indef)
hert	hart	N(sing)
'	?	punc(quest)
recht	recht	N(sing)
te	te	Adp()
volbringhen	volbrengen	V(infin)
uwe	uw	Pron(poss)
wetten	wet	N(plu)
al	al	Adv(gener)
t	het	Art(def)
'	?	punc(quest)
saeme	samen	Adv(gener)
daertoe	daartoe	pronadv(dem)
heeft	hebben	V(fin,pres,aux_cop)
heer	heer	N(sing)
'	?	punc(quest)
eenen	een	Art(indef)
lust	lust	N(sing)
uwe	uw	Pron(poss)
knecht	knecht	N(sing)
aensiet	aanzien	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
end	en	Conj(coord)
toont	tonen	N(sing)
my	ik	Pron(pers,1,sing)
v	gij	Pron(pers,2,plu)
'	?	punc(quest)
hulp	hulp	n(sing)
'	?	punc(quest)
bequaeme	bekwaam	Adj()
also	alzo	Adv(dem)
ghy	gij	Pron(pers,2,plu)
hen	zij	Pron(pers,3,plu)
te	te	Adp()
doen	doen	v(infin)
ghewone	gewoon	adj()
sijt	zijn	v(fin,pres,aux_cop)
die	de	pron(rel)
lief	lief	adj()
hebben	hebben	V(fin,pres,aux_cop)
end	en	Conj(coord)
eeren	eer	N(sing)
uwen	uw	Pron(poss)
naeme	naam	N(sing)
gheleydt	leiden	V(participle,past)
my	ik	Pron(pers,1,sing)
op	op	Adp()
den	de	Art(def)
wegh	weg	N(sing)
end	en	Conj(coord)
my	ik	Pron(pers,1,sing)
bevrydt	bevrijden	V(participle,past)
doer	door	Adp()
v	uw	Pron(poss)
'	?	punc(quest)
woort	woord	N(sing)
end	en	Conj(coord)
wilt	willen	V(fin,pres,aux_cop)
die	de	Art(def)
sonde	zonde	N(sing)
niet	niet	Adv(neg)
laeten	laten	V(infin)
herschen	heersen	V(infin)
ouer	over	Adp()
my	ik	Pron(pers,1,sing)
tot	tot	Adp()
eenighe	enig	Num(indef)
tydt	tijd	N(sing)
hoe	hoe	Adv(inter)
seer	zeer	Adv(gener)
dat	dat	Conj(subord)
se	zij	Pron(pers,3,plu)
my	ik	Pron(pers,1,sing)
quellen	kwellen	V(infin)
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
haeten	haten	V(infin)
bewaert	bewaren	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
heer	heer	N(sing)
so	zo	Adv(resum)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
oock	ook	Adv(gener)
nu	nu	Adv(dem)
voort	voorts	Adv(gener)
leuen	leven	V(infin)
nae	na	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
ghebodt	gebod	N(sing)
goet	goed	Adj()
bouen	boven	Adp()
maeten	maat	N(plu)
laett	laten	V(imp)
v	gij	Pron(poss)
'	?	punc(quest)
aenschyn	aanschijn	n(sing)
ouer	over	Adp()
my	ik	Pron(pers,1,sing)
nae	na	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
woort	woord	N(sing)
in	in	Adp()
ghenaeden	genade	N(sing)
lichten	lichten	V(infin)
end	en	Conj(coord)
wilt	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
